Original;ger;spa;fra;por-BR;ita;Occurrences
Client;Klient;Cliente;Client;Requerente;Cliente;ADVISEDLU00012 ADVISEDLULINE00009 ASO00001 ASOACK00001 ASOCOMPONENT00001 ASOCONSUMABLES00001 ASOPARTNER00001 CONSIGNMENTADDRACK00008 DANGGOODS00009 DANGGOODSDESC00006 FWCS_FFO00001 FWCS_FFOACK00001 FWCS_FFOCANCEL00001 FWCS_FFODEST00001 FWCS_FFODESTCANCEL00001 FWCS_FFOFINALIZE00001 FWCS_FFOITEMLINE00001 FWCS_FFOITEMLINECANCEL00001 FWCS_FFOITEMLINEFINALIZE00001 FWCS_FFOSTATIONLINE00001 FWCS_FFOSTATIONLINECANCEL00001 FWCS_FFOSTATIONLINEFINISH00001 FWCS_ITEM00001 FWCS_ITEMALIAS00001 FWCS_ITEMDESC00001 FWCS_PACKAGINGVERSION00001 FWCS_PARTNER00001 FWCS_PICKINGLOCASSIGNMENT00001 IBD00008 IBDACK00012 IBDEXTREF00006 IBDEXTREFACK00007 IBDL00006 IBDL2IBOLACK00006 IBDLACK00006 IBDLDETAILACK00006 IBDLDIFFCODEACK00005 IBDLEXTREF00006 IBDLEXTREFACK00007 IBDLOADAIDACK00004 IBDLTEXT00001 IBDLUACK00007 IBDLUDETAILACK00009 IBDPARTNER00008 IBDPARTNERACK00008 IBDTEXT00001 IBO00008 IBOACK00008 IBOEXTREF00006 IBOEXTREFACK00006 IBOL00007 IBOLACK00006 IBOLDIFFCODEACK00005 IBOLEXTREF00006 IBOLEXTREFACK00007 IBOLTEXT00001 IBOPARTNER00008 IBOPARTNERACK00008 IBOTEXT00001 INVDL00005 INVDLACK00006 INVDLTEXT00001 INVDPARTNER00007 INVDTEXT00001 ITEM00012 ITEMABCCLASSIFICATION00006 ITEMALIAS00006 ITEMDESC00005 ITEMQTYUNIT00008 ITEMWHLOC00005 KIT00001 KITCOMPONENT00001 KITCONSUMABLES00001 LAACCOUNTENTRYACK00001 LOADLUDETAILACK00009 LOGIN00007 OBD00010 OBDACK00011 OBDEXTREF00006 OBDEXTREFACK00006 OBDL00007 OBDL2OBOLACK00005 OBDLACK00009 OBDLDETAILACK00008 OBDLDIFFCODEACK00005 OBDLEXTREF00006 OBDLEXTREFACK00006 OBDLOADAIDACK00004 OBDLTEXT00001 OBDLUACK00008 OBDLUDETAILACK00009 OBDPARTNER00008 OBDPARTNERACK00008 OBDTEXT00001 OBO00009 OBOACK00011 OBOEXTREF00006 OBOL00007 OBOLEXTREF00006 OBOLTEXT00001 OBOPARTNER00008 OBOTEXT00001 PARTNER00008 PARTNERADDR00007 PARTNERITEM00005 REPLACEMENTITEM00005 SHIPMENTLUACK00003 SHIPMENTLUDETAILACK00002 SHIPMENTLUOBOACK00001 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Consecutive number;Fortlaufende Nummer;Número consecutivo;Nombre consécutif;Número sequencial;Numero consecutivo;CONSIGNMENT00007 CONSIGNMENTACK00012 CONSIGNMENTADDRACK00008 LOAD00008 LOADACK00011 LOADTRANSPORTVEHICLE00006 LOADTRANSPORTVEHICLEACK00006
Consignment ID;Sendungs-ID;Id. de envío;ID d'expédition;ID de envio;Identificazione spedizione;CONSIGNMENT00007 CONSIGNMENTACK00012 CONSIGNMENTADDRACK00008 LOADLUACK00011 LOADLUDETAILACK00009
Consignment;Sendung;Envío;Expédition;Envio;Spedizione;LOADLU00005
Consumables item number;Verbrauchsmaterialartikelnummer;Número de artículo de consumibles;Numéro d’article des consommables;Número de item de consumíveis;Numero dell'articolo consumabili;KITCONSUMABLES00001
Consumables number;Verbrauchsmaterialnummer;Número de consumibles;Numéro des consommables;Número de consumíveis;Numero di consumabili;ASOCONSUMABLES00001 KITCONSUMABLES00001
Consumables variant;Verbrauchsmaterialvariante;Variante de consumibles;Variante des consommables;Variante de consumíveis;Variante di consumabili;KITCONSUMABLES00001
Content kind;Inhaltsart;Tipo de contenido;Type du contenu;Tipo de conteúdo;Tipo di contenuto;INVDL00005 INVDLACK00006
Content number;Inhaltsnummer;Número de contenido;Numéro de contenu;Número de conteúdo;Numero contenuto;IBDLUDETAILACK00009 LOADLUDETAILACK00009 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002
Conveyor station group;Förderanlagenstationsgruppe;Conveyor station group;Groupe de station de l’installation de convoyage;Conveyor station group;Conveyor station group;FWCS_FFOSTATIONLINE00001 FWCS_FFOSTATIONLINEACK00001 FWCS_FFOSTATIONLINECANCEL00001 FWCS_FFOSTATIONLINEFINISH00001
Conveyor station;Förderanlagenstation;Estación de transportador;Station de l'installation de convoyage;Estação do sistema de transporte;Stazione di movimentazione;FWCS_FFOCONVEYORSTATIONACK0001 FWCS_FFOSTATIONLINE00001 FWCS_FFOSTATIONLINEACK00001 FWCS_FFOSTATIONLINECANCEL00001 FWCS_FFOSTATIONLINEFINISH00001
Cost center;Kostenstelle;Centro de coste;Centre de coûts;Centro de custos;Voce di costo;STOCKADJ00008
Counted on;Gezählt am;Contado el;Compté le;Contado em;Conteggio eseguito il;INVCCACK00007
Country of origin;Herkunftsland;País de origen;Pays d'origine;País de origem;Paese di origine;ITEM00012
Country;Land;País;Pays;País;Paese;CONSIGNMENTADDRACK00008 FWCS_PARTNER00001 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
Created during;Erstellt während;Creado durante;Créé durant;Criado durante;Creata durante;LAACCOUNTENTRYACK00001
Critical stock level (BQU);Kritische Bestandsebene (BME);Nivel de existencias crítico (UE);Taux critique de stock (UQB);Nível de estoque crítico (UBQ);Livello di scorta critico (UQB);ITEMWHLOC00005
Cross Docking 1;Cross Docking 1;Cross Docking 1;Cross-docking 1;Cross Docking 1;Cross Docking 1;ADVISEDLU00012 OBDL00007 OBDLACK00009
Cross Docking No.;Cross Docking-Nr.;N.° Cross Docking;Numéro de cross docking;Nº de Cross Docking;N° Cross Docking;ADVISEDLULINE00009 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Cross Docking number;Cross Docking-Nummer;Número de Cross Docking;Numéro de cross docking;Número de Cross Docking;Numero Cross Docking;STOCKADJ00008
Customer;Kunde;Cliente;Client;Cliente;Cliente;PARTNER00008
Customs tariff number;Zolltarifnummer;Código arancelario;Position tarifaire;Número da tarifa aduaneira;Numero della tariffa doganale;ITEM00012
Dangerous goods description;Gefahrgutbezeichnung;Denominación de mercancía peligrosa;Désignation des marchandises dangereuses;Descrição de material perigoso;Descrizione merce pericolosa;DANGGOODSDESC00006
Dangerous goods info text;Gefahrgut-Infotext;Texto informativo de mercancía peligrosa;Texte informatif des marchandises dangereuses;Texto de informação de material perigoso;Testo informativo merce pericolosa;DANGGOODS00009
Dangerous goods points;Gefahrgutpunkte;Nivel de peligro;Points de marchandises dangereuses;Pontos de materiais perigosos;Punti per merci pericolose;LOADLUACK00011 LOADLUDETAILACK00009 OBDLUACK00008 OBDLUDETAILACK00009 SHIPMENTLUACK00003 SHIPMENTLUDETAILACK00002
Dangerous goods quantity / base quantity;Gefahrgutmenge / Basismenge;Cantidad de mercancía peligrosa/cantidad básica;Quantité marchandises dangereuses / quantité de base;Quantidade de material perigoso / Quantidade básica;Quantità / quantità di base merce pericolosa;DANGGOODS00009
Dangerous goods quantity unit;Gefahrgut-Mengeneinheit;Unidad de medida de mercancía peligrosa;Unité de quantité des marchandises dangereuses;Unidade de quantidade de material perigoso;Unità quantitativa merce pericolosa;DANGGOODS00009
Data access profile;Datenzugriffsprofil;Perfil de acceso a datos;Profil d'accès aux données;Perfil de acesso de dados;Profilo di accesso dati;LOGIN00007
Data state (extended);Datenstatus (erweitert);Estado de fecha (ampliada);État de données (étendu);Status de dados (estendido);Stato dei dati (esteso);ITEM00012 PARTNER00008
Data state;Datenstatus;Estado de los datos;État de données;Status de dados;Stato dei dati;CONSIGNMENTACK00012 CONSIGNMENTADDRACK00008 DANGGOODS00009 DANGGOODSDESC00006 FWCS_FFO00001 FWCS_FFOACK00001 FWCS_FFOCANCEL00001 FWCS_FFOCONVEYORSTATIONACK0001 FWCS_FFODEST00001 FWCS_FFODESTCANCEL00001 FWCS_FFOFINALIZE00001 FWCS_FFOITEMLINE00001 FWCS_FFOITEMLINEACK00001 FWCS_FFOITEMLINECANCEL00001 FWCS_FFOITEMLINEFINALIZE00001 FWCS_FFOPICKACK00001 FWCS_FFOSTATIONLINE00001 FWCS_FFOSTATIONLINEACK00001 FWCS_FFOSTATIONLINECANCEL00001 FWCS_FFOSTATIONLINEFINISH00001 FWCS_ITEM00001 FWCS_ITEMALIAS00001 FWCS_ITEMDESC00001 FWCS_PACKAGINGVERSION00001 FWCS_PARTNER00001 FWCS_PICKINGLOCASSIGNMENT00001 IBD00008 IBDEXTREF00006 IBDLEXTREF00006 IBDLTEXT00001 IBDPARTNER00008 IBDTEXT00001 IBO00008 IBOEXTREF00006 IBOLEXTREF00006 IBOLTEXT00001 IBOPARTNER00008 IBOTEXT00001 INVDLTEXT00001 INVDTEXT00001 ITEMABCCLASSIFICATION00006 ITEMALIAS00006 ITEMDESC00005 ITEMQTYUNIT00008 ITEMWHLOC00005 KIT00001 KITCOMPONENT00001 KITCONSUMABLES00001 LAACCOUNTENTRYACK00001 LOAD00008 LOADACK00011 LOADTRANSPORTVEHICLE00006 LOADTRANSPORTVEHICLEACK00006 OBD00010 OBDEXTREF00006 OBDLEXTREF00006 OBDLTEXT00001 OBDPARTNER00008 OBDTEXT00001 OBO00009 OBOEXTREF00006 OBOLEXTREF00006 OBOLTEXT00001 OBOPARTNER00008 OBOTEXT00001 PARTNERADDR00007 PARTNERITEM00005 REPLACEMENTITEM00005
Date of birth;Geburtsdatum;Fecha de nacimiento;Date de naissance;Data de nascimento;Data di nascita;SYSUSER00007
Default loading unit cubature;Standard-Ladeeinheiten-Kubatur;Cubicación de unidades de transporte predeterminada;Cubature d'unité de chargement par défaut;Cubatura padrão da unidade de transporte;Cubatura dell'unità di carico predefinita;ITEMQTYUNIT00008
Default role;Standardrolle;Papel predeterminado;Rôle par défaut;Papel padrão;Ruolo del partner predefinito;LOGIN2ROLE00005
Delivered # Dangerous goods points;Delivered # Dangerous goods points;Delivered # Dangerous goods points;Delivered # Dangerous goods points;Delivered # Dangerous goods points;Delivered # Dangerous goods points;OBOACK00011
Delivered # Hierarchical shipment LUs;Delivered # Hierarchical shipment LUs;Delivered # Hierarchical shipment LUs;Delivered # Hierarchical shipment LUs;Delivered # Hierarchical shipment LUs;Delivered # Hierarchical shipment LUs;OBDACK00011
Delivered # Picking shipment LUs;Delivered # Picking shipment LUs;Delivered # Picking shipment LUs;Delivered # Picking shipment LUs;Delivered # Picking shipment LUs;Delivered # Picking shipment LUs;OBDACK00011
Delivered # Sub shipment LUs;Delivered # Sub shipment LUs;Delivered # Sub shipment LUs;Delivered # Sub shipment LUs;Delivered # Sub shipment LUs;Delivered # Sub shipment LUs;OBDACK00011
Delivered # WQU;Delivered # WQU;Delivered # WQU;Delivered # WQU;Delivered # WQU;Delivered # WQU;OBDACK00011 OBOACK00011
Delivered # Whole shipment LUs;Delivered # Whole shipment LUs;Delivered # Whole shipment LUs;Delivered # Whole shipment LUs;Delivered # Whole shipment LUs;Delivered # Whole shipment LUs;OBDACK00011
Delivered Total dangerous goods points;Delivered Total dangerous goods points;Delivered Total dangerous goods points;Delivered Total dangerous goods points;Delivered Total dangerous goods points;Delivered Total dangerous goods points;OBDACK00011 OBDLACK00009 OBDLDETAILACK00008
Delivered Total gross weight unit;Delivered Total gross weight unit;Delivered Total gross weight unit;Delivered Total gross weight unit;Delivered Total gross weight unit;Delivered Total gross weight unit;OBDACK00011 OBOACK00011
Delivered Total gross weight;Delivered Total gross weight;Delivered Total gross weight;Delivered Total gross weight;Delivered Total gross weight;Delivered Total gross weight;OBDACK00011 OBOACK00011
Delivered Total volume unit;Delivered Total volume unit;Delivered Total volume unit;Delivered Total volume unit;Delivered Total volume unit;Delivered Total volume unit;OBDACK00011 OBOACK00011
Delivered Total volume;Delivered Total volume;Delivered Total volume;Delivered Total volume;Delivered Total volume;Delivered Total volume;OBDACK00011 OBOACK00011
Delivered dual quantity;Gelieferte Dualmenge;Cantidad dual entregada;Quantité duale livrée;Quantidade dual fornecida;Quantità duale fornita;IBDLACK00006 IBOLACK00006 OBDLACK00009
Delivered quantity;Liefermenge;Cantidad entregada;Quantité de livraison;Quantidade de fornecimento;Quantità fornita;FWCS_FFOITEMLINEACK00001 FWCS_FFOPICKACK00001 IBDLACK00006 IBOLACK00006 OBDLACK00009
Delivery category;Ausliefergruppe;Grupo de expedición de mercancías;Groupe de livraison;Categoria de fornecimento;Gruppo di uscita;CONSIGNMENT00007 CONSIGNMENTACK00012 ITEMWHLOC00005 OBD00010 OBDACK00011
Delivery condition Site;Delivery condition Site;Delivery condition Site;Delivery condition Site;Delivery condition Site;Delivery condition Site;OBD00010 OBDACK00011
Delivery note date;Lieferscheindatum;Fecha del albarán de entrega;Date du bon de livraison;Data da nota de fornecimento;Data della bolla di consegna;IBD00008 IBDACK00012
Delivery note number;Lieferscheinnummer;Número de albarán de entrega;Numéro de bon de livraison;Número da nota de fornecimento;Numero bolla di consegna;IBD00008 IBDACK00012
Delivery planning category;Auslieferplanungsgruppe;Categoría de planificación de suministro;Groupe de planification de livraison;Grupo de planejamento de fornecimento;Categoria di pianificazione delle consegne;ITEMWHLOC00005
Delivery time slot From;Delivery time slot From;Delivery time slot From;Delivery time slot From;Delivery time slot From;Delivery time slot From;CONSIGNMENTACK00012
Delivery time slot To;Delivery time slot To;Delivery time slot To;Delivery time slot To;Delivery time slot To;Delivery time slot To;CONSIGNMENTACK00012
Delivery time;Liefertermin;Hora de entrega;Délais de livraison;Prazo de fornecimento;Data di consegna;ADVISEDLU00012 CONSIGNMENT00007 CONSIGNMENTACK00012 OBD00010 OBDACK00011
Denominator;Nenner;Denominad;Dénominateur;Denominador;Denominatore;ITEMQTYUNIT00008
Departure time;Abfahrtstermin;Tiempo de salida;Heure de départ;Horário de partida;Ora di partenza;CONSIGNMENTACK00012 LOAD00008 LOADACK00011 OBD00010 OBDACK00011
Difference code IG;Differenzcode WE;Código de diferencia RM;Code de divergence EM;Código de diferença EM;Codice di differenza IM;IBDLDIFFCODEACK00005 IBOLDIFFCODEACK00005
Difference code OG;Differenzcode WA;Código de diferencia EM;Code de divergence SM;Código de diferença de SM;Codice di differenza UM;OBDLDIFFCODEACK00005 PARTNER00008
Display assembly order;Assemblierungsauftrag anzeigen;Visualización de orden de ensamblaje;Afficher l'ordre d’assemblage;Exibir pedido de montagem;Visualizza ordine di assemblaggio;KIT00001
Dissolved;Aufgelöst;Disuelto;Dissout;Dissolvido;Annullato;LOADACK00011
District;Bezirk;Distrito;District;Distrito;Zona;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003
Diversion reason;Ausschleusungsgrund;Diversion reason;Raison de transfert;Diversion reason;Diversion reason;FWCS_FFOCONVEYORSTATIONACK0001
Dock;Tor;Muelle;Porte;Portão;Varco;ADVISEDLU00012 CONSIGNMENT00007 CONSIGNMENTACK00012 IBD00008 OBD00010 OBDACK00011 SO00001
Dual item;Dualartikel;Artículo dual;Article dual;Item dual;Articoli duali;ITEM00012
Dual quantity unit;Dualmengeneinheit;Unidad dual de medida;Unité de quantité duale;Unidade de quantidade dual;Unità di quantità duale;ITEM00012
Dual quantity;Dualmenge;Cantidad dual;Quantité duale;Quantidade dual;Quantità duale;ADVISEDLULINE00009 IBDLDETAILACK00006 IBDLUDETAILACK00009 LOADLUDETAILACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008
Dual warehouse quantity unit;Duallagermengeneinheit;Unidad dual de almacenamiento;Unité de gestion de stock duale;Unidade de quantidade dual de depósito;Unità di quantità duale di magazzino;ITEM00012
Earliest release time;Früheste Freigabezeit;Primer momento de aprobación posible;Heure de mise à disposition la plus tôt possible;Primeiro prazo de liberação;Momento di approvazione più presto possibile;INVD00007
Editing remaining dual quantity allowed IG;Editing remaining dual quantity allowed IG;Editing remaining dual quantity allowed IG;Editing remaining dual quantity allowed IG;Editing remaining dual quantity allowed IG;Editing remaining dual quantity allowed IG;ITEM00012
Editing remaining dual quantity allowed OG;Editing remaining dual quantity allowed OG;Editing remaining dual quantity allowed OG;Editing remaining dual quantity allowed OG;Editing remaining dual quantity allowed OG;Editing remaining dual quantity allowed OG;ITEM00012
Editing remaining dual quantity allowed;Bearbeiten der Rest-Dualmenge erlaubt;Se permite editar la cantidad dual restante;Éditer la quantité duale restante est permis;Permitido editar a quantidade dual restante;Modifica della quantità duale residua consentita;ITEM00012
Editing remaining quantity allowed IG;Editing remaining quantity allowed IG;Editing remaining quantity allowed IG;Editing remaining quantity allowed IG;Editing remaining quantity allowed IG;Editing remaining quantity allowed IG;ITEM00012
Editing remaining quantity allowed OG;Editing remaining quantity allowed OG;Editing remaining quantity allowed OG;Editing remaining quantity allowed OG;Editing remaining quantity allowed OG;Editing remaining quantity allowed OG;ITEM00012
Editing remaining quantity allowed;Bearbeiten der Restmenge erlaubt;Se permite editar la cantidad restante;Éditer la quantité restante est permis;Permitido editar a quantidade restante;Modifica della quantità residua consentita;ITEM00012
Email;E-Mail;E-Mail;Courriel;E-Mail;Email;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
Employee number;Mitarbeiternummer;Número de operario;Numéro de l'employé;Número do colaborador;Numero identificativo personale;SYSUSER00007
Empties Item number;Empties Item number;Empties Item number;Empties Item number;Empties Item number;Empties Item number;ITEMQTYUNIT00008
Empties Variant;Empties Variant;Empties Variant;Empties Variant;Empties Variant;Empties Variant;ITEMQTYUNIT00008
Empty location inventory;Leerplatzinventur;Inventario de ubicación vacía;Inventaire des emplacements vides;Inventário de local vazio;Inventario di un posto vuoto;INVCCACK00007
Empty location;Leerplatz;Posición vacía;Emplacement vide;Local vazio;Ubicazione vuota;FWCS_FFOPICKACK00001
Equivalent period strategy;Gleichwertige Periodenstrategie;Estrategia de periodo equivalente;Stratégie de période équivalente;Estratégia de período equivalente;Strategia periodo equivalente;OBDL00007 OBOL00007 PARTNER00008
Error Category;Fehlerkategorie;Categoría de errores;Catégorie d'erreur;Categoria de erros;Categoria di errori;INSPMLINEACK00001
Error description;Fehlerbeschreibung;Descripción de error;Désignation d'erreur;Descrição de erro;Descrizione errore;INSPMLINEACK00001
Excepted Quantities;Freigestellte Mengen;Cantidades exceptuadas;Quantités exceptées;Quantidades exceptuadas;Quantità esenti;DANGGOODS00009
Exchange partner;Tauschpartner;Socio de cambio;Partenaire d'échange;Trocar parceiro;Partner di scambio;IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008
Externally authenticated;Extern authentifiziert;Autenticado externamente;Authentifié à l'extérieur;Autenticado externamente;Autenticazione esterna;LOGIN00007
Externally managed;Extern verwaltet;Gestionado externamente;Gérer à l'extérieure;Administrado externamente;Gestione esterna;LOGIN00007
FOG graph;WFL-Graph;Grafo de flujo de mercancías;Graphe FDM;Gráfico FLM;Grafo flusso di merci;FWCS_FFO00001
Fax;Fax;Fax;Fax;Fax;Fax;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003
Finish time;Fertigzeit;Tiempo de terminación;Temps de finalisation;Finalizar tempo;Ora di completamento;FWCS_FFOACK00001 INVDACK00009
Finishing user;Fertigstellender Benutzer;Cliente de finalización;Utilisateur finalisant;Usuário finalizador;Completamento utente;INVDACK00009
First name;Vorname;Nombre;Prénom;Nome;Nome;SYSUSER00007
Freight carrier;Frachtführer;Transportista;Un louageur;Transportadora de carga;Vettore;PARTNER00008
From Delivery time slot;From Delivery time slot;From Delivery time slot;From Delivery time slot;From Delivery time slot;From Delivery time slot;IBD00008 IBDACK00012
From Registration time;From Registration time;From Registration time;From Registration time;From Registration time;From Registration time;INVDL00005 INVDLACK00006
From Requested delivery date;From Requested delivery date;From Requested delivery date;From Requested delivery date;From Requested delivery date;From Requested delivery date;IBOL00007
Fulfillment order group;Fulfillment order group;Fulfillment order group;Groupe d'ordres d'accomplissement;Fulfillment order group;Fulfillment order group;FWCS_FFO00001
Fulfillment order stage;Fulfillment-Auftragsstufe;Fulfillment order stage;Phase de l'ordre de sortie de stock;Fulfillment order stage;Fulfillment order stage;FWCS_FFOACK00001
Fulfillment order;Fulfillment-Auftrag;Orden fulfillment;Ordre d'accomplissement;Pedido de fulfillment;Ordine di fulfillment;FWCS_FFO00001 FWCS_FFOACK00001 FWCS_FFOCANCEL00001 FWCS_FFODEST00001 FWCS_FFODESTCANCEL00001 FWCS_FFOFINALIZE00001 FWCS_FFOITEMLINE00001 FWCS_FFOITEMLINECANCEL00001 FWCS_FFOITEMLINEFINALIZE00001 FWCS_FFOSTATIONLINE00001 FWCS_FFOSTATIONLINECANCEL00001 FWCS_FFOSTATIONLINEFINISH00001
Full;Voll;Lleno;Plein;Cheio;Pieno;FWCS_FFOACK00001
GLN;GLN;GLN;GLN;GLN;GLN;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003
GTIN verification interval IG;GTIN verification interval IG;GTIN verification interval IG;GTIN verification interval IG;GTIN verification interval IG;GTIN verification interval IG;ITEM00012
GTIN verification interval unit IG;GTIN verification interval unit IG;GTIN verification interval unit IG;GTIN verification interval unit IG;GTIN verification interval unit IG;GTIN verification interval unit IG;ITEM00012
GTIN verification kind IG;GTIN verification kind IG;GTIN verification kind IG;GTIN verification kind IG;GTIN verification kind IG;GTIN verification kind IG;ITEM00012
Gender;Geschlecht;Género;Sexe;Sexo;Genere;SYSUSER00007
Goods category;Warengruppe;Grupo de mercancías;Groupe de marchandises;Categoria de mercadorias;Gruppo di merci;INVDL00005 INVDLACK00006 ITEM00012
Goods owner;Wareneigentümer;Propietario de las mercancías;Propriétaire de la marchandise;Proprietário da mercadoria;Proprietario della merce;ADVISEDLULINE00009 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Goods value unit;Goods value unit;Goods value unit;Goods value unit;Goods value unit;Goods value unit;ITEM00012
Goods value;Warenwert;Valor de mercancías;Valeur de la marchandise;Valor de mercadoria;Valore della merce;ITEM00012
Goods volume unit;Goods volume unit;Goods volume unit;Goods volume unit;Goods volume unit;Goods volume unit;LOADLUACK00011
Goods volume;Warenvolumen;Volumen de mercancía;Volume de la marchandise;Volume de mercadorias;Volume merce;LOADLUACK00011
Gross weight unit;Gross weight unit;Gross weight unit;Gross weight unit;Gross weight unit;Gross weight unit;ADVISEDLU00012 ADVISEDLULINE00009 IBDLUACK00007 IBDLUDETAILACK00009 ITEMQTYUNIT00008 LOADLUACK00011 OBDLUACK00008 OBDLUDETAILACK00009 SHIPMENTLUACK00003 SHIPMENTLUDETAILACK00002
Gross weight;Bruttogewicht;Peso bruto;Poids brut;Preso bruto;Peso lordo;ADVISEDLU00012 ADVISEDLULINE00009 FWCS_FFOCONVEYORSTATIONACK0001 FWCS_FFOSTATIONLINEACK00001 IBDLUACK00007 IBDLUDETAILACK00009 ITEMQTYUNIT00008 LOADLUACK00011 OBDLUACK00008 OBDLUDETAILACK00009 SHIPMENTLUACK00003 SHIPMENTLUDETAILACK00002
Group by BBD grouping;Group by BBD grouping;Group by BBD grouping;Group by BBD grouping;Group by BBD grouping;Group by BBD grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by Batch grouping;Group by Batch grouping;Group by Batch grouping;Group by Batch grouping;Group by Batch grouping;Group by Batch grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 01 grouping;Group by CSIA 01 grouping;Group by CSIA 01 grouping;Group by CSIA 01 grouping;Group by CSIA 01 grouping;Group by CSIA 01 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 02 grouping;Group by CSIA 02 grouping;Group by CSIA 02 grouping;Group by CSIA 02 grouping;Group by CSIA 02 grouping;Group by CSIA 02 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 03 grouping;Group by CSIA 03 grouping;Group by CSIA 03 grouping;Group by CSIA 03 grouping;Group by CSIA 03 grouping;Group by CSIA 03 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 04 grouping;Group by CSIA 04 grouping;Group by CSIA 04 grouping;Group by CSIA 04 grouping;Group by CSIA 04 grouping;Group by CSIA 04 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 05 grouping;Group by CSIA 05 grouping;Group by CSIA 05 grouping;Group by CSIA 05 grouping;Group by CSIA 05 grouping;Group by CSIA 05 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 06 grouping;Group by CSIA 06 grouping;Group by CSIA 06 grouping;Group by CSIA 06 grouping;Group by CSIA 06 grouping;Group by CSIA 06 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 07 grouping;Group by CSIA 07 grouping;Group by CSIA 07 grouping;Group by CSIA 07 grouping;Group by CSIA 07 grouping;Group by CSIA 07 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 08 grouping;Group by CSIA 08 grouping;Group by CSIA 08 grouping;Group by CSIA 08 grouping;Group by CSIA 08 grouping;Group by CSIA 08 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 09 grouping;Group by CSIA 09 grouping;Group by CSIA 09 grouping;Group by CSIA 09 grouping;Group by CSIA 09 grouping;Group by CSIA 09 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Group by CSIA 10 grouping;Group by CSIA 10 grouping;Group by CSIA 10 grouping;Group by CSIA 10 grouping;Group by CSIA 10 grouping;Group by CSIA 10 grouping;STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
